"subject","gender","age","high_sch_GPA","college_GPA","distance_home","distance_residence","TV","sports","newspapers","AIDS","vegetarian","political_ideology","religiosity","abortion_legalize","affirmative_action_support"
1,"m",32,2.2,3.5,0,5,3,5,0,0,"n",6,2,"n","n"
2,"f",23,2.1,3.5,1200,0.3,15,7,5,6,"y",2,1,"y","y"
3,"f",27,3.3,3,1300,1.5,0,4,3,0,"y",2,2,"y","y"
4,"f",35,3.5,3.2,1500,8,5,5,6,3,"n",4,1,"y","y"
5,"m",23,3.1,3.5,1600,10,6,6,3,0,"n",1,0,"y","n"
6,"m",39,3.5,3.5,350,3,4,5,7,0,"y",2,1,"y","y"
7,"m",24,3.6,3.7,0,0.2,5,12,4,2,"n",2,1,"y","y"
8,"f",31,3,3,5000,1.5,5,3,3,1,"n",2,1,"y","y"
9,"m",34,3,3,5000,2,7,5,3,0,"n",1,1,"y","y"
10,"m",28,4,3.1,900,2,1,1,2,1,"y",3,0,"n","y"
11,"m",23,2.3,2.6,253,1.5,10,15,1,1,"n",5,1,"n","y"
12,"f",27,3.5,3.6,190,3,14,3,7,0,"n",2,1,"y","y"
13,"m",36,3.3,3.5,245,1.5,6,15,12,5,"n",1,1,"y","y"
14,"m",28,3.2,3.2,500,6,3,10,1,2,"n",4,1,"y","n"
15,"f",28,3,3.5,3500,1,4,3,1,0,"n",1,0,"y","y"
16,"f",25,3.8,3.3,210,10,7,6,1,0,"y",2,3,"y","y"
18,"m",50,3.8,3.8,0,3,5,9,6,10,"n",2,0,"y","n"
19,"m",71,4,3.5,5000,3,6,12,2,2,"n",2,0,"y","n"
20,"f",28,3,3.8,120,1,25,0,0,2,"y",1,1,"y","y"
21,"f",26,3.7,3.7,8000,8,4,4,4,1,"n",4,1,"y","y"
22,"f",27,4,3.7,2,2.5,4,2,7,0,"n",2,1,"y","y"
23,"m",31,2.7,3.5,1700,5,7,7,2,0,"n",7,3,"n","n"
24,"f",23,3.7,3.7,2,2,7,4,2,0,"n",4,0,"y","y"
25,"m",23,3.2,3.8,450,4,0,7,7,3,"n",1,0,"y","y"
26,"f",44,3,3,0,2,2,3,2,3,"y",3,2,"y","y"
27,"m",26,3.7,3,1000,3,8,2,7,0,"n",2,1,"y","y"
28,"f",31,3.7,3.8,850,10,10,3,7,0,"n",5,2,"y","n"
29,"m",24,3.3,3.1,420,2,10,6,5,0,"n",4,1,"y","y"
30,"f",26,3.3,3.3,1200,0.75,10,0,3,0,"n",2,1,"y","y"
31,"m",26,3.3,3.5,1000,1.5,0,3,3,3,"y",2,1,"y","y"
32,"f",32,3.5,3.9,150,12,10,2,0,0,"n",2,1,"n","n"
33,"m",26,3.4,3.4,2000,1.5,2,7,14,0,"n",2,0,"y","y"
34,"f",22,3.2,2.8,316,2,10,3,5,2,"n",2,1,"y","y"
35,"f",24,3.5,3.9,900,1.75,8,0,0,1,"n",1,1,"y","y"
36,"m",24,3.6,3.3,250,2,4,6,3,1,"n",5,3,"n","y"
37,"m",23,3.8,3.7,180,0.5,10,5,7,0,"n",2,0,"y","n"
38,"m",33,3.4,3.4,6000,1.5,8,5,6,2,"n",2,0,"y","y"
39,"m",23,2.8,3.2,950,2,37,1,5,0,"n",5,2,"y","n"
40,"m",31,3.8,3.5,1100,0.75,0.5,3,5,2,"n",6,2,"y","n"
41,"m",26,3.4,3.4,1300,1.2,0,8,2,0,"n",2,1,"n","y"
42,"m",28,2,3,360,0.25,10,8,3,0,"n",3,0,"y","y"
43,"f",24,3.8,3.9,1800,2,2,5,4,1,"n",6,3,"n","y"
44,"m",23,3,3.6,900,15,12,0,5,0,"n",5,0,"y","n"
45,"f",25,3,4,5000,5,1.5,0,4,0,"n",4,1,"y","y"
46,"f",24,3,3.5,300,1,10,5,5,0,"n",2,0,"y","y"
47,"f",27,3,3.8,2000,20,28,7,14,2,"y",3,1,"y","y"
48,"m",24,3.3,3.8,630,1.3,2,3,5,0,"n",7,3,"n","n"
49,"f",26,3.8,4,1200,1,0,4,3,1,"n",2,0,"y","y"
50,"f",27,3,4,580,2,5,15,1,2,"n",1,1,"y","y"
51,"m",32,3,3,2000,5,5,5,2,1,"n",5,3,"n","y"
52,"f",41,4,4,0,8,8,4,2,2,"n",4,1,"n","n"
53,"f",29,3,3.9,300,3.7,2,5,1,11,"n",2,1,"y","y"
54,"f",50,3.5,3.8,6,6,7,3,7,0,"n",2,1,"y","y"
55,"f",22,3.4,3.7,80,7,10,1,2,2,"n",2,0,"y","y"
56,"f",23,3.6,3.2,375,1.5,5,1,5,0,"n",6,3,"n","n"
57,"m",26,3.5,3.6,2000,0.3,16,8,3,0,"n",4,1,"y","y"
58,"m",30,3,3,1,1.1,1,4,3,0,"n",3,3,"y","n"
59,"f",23,3,3,112,0.5,15,3,3,0,"n",4,2,"y","y"
60,"f",22,3.4,3,650,4,8,16,7,1,"n",4,1,"y","y"
